Replicate,Species,Culture conditions,L5-mer3,mer3,L5-hop1,hop1,L5-hop2,hop2,L5-mnd1,mnd1
1,P.subellipsoidea,Nitrate deficiency,22.3586666666667,28.942,22.3586666666667,24.9276666666667,22.3586666666667,23.5776666666667,24.4693333333333,25.6176666666667
2,P.subellipsoidea,Nitrate deficiency,22.7753333333333,29.0503333333333,22.7753333333333,25.1,22.7753333333333,23.707,22.7753333333333,26.0493333333333
3,P.subellipsoidea,Nitrate deficiency,23.305,28.583,23.305,25.5786666666667,25.112,23.7366666666667,23.305,25.7586666666667
1,P.subellipsoidea,Standard culture,21.734,26.52,21.734,24.561,25.6096666666667,24.3753333333333,21.734,24.3946666666667
2,P.subellipsoidea,Standard culture,21.596,26.9303333333333,21.596,26.1806666666667,25.5906666666667,24.6363333333333,21.596,24.2993333333333
3,P.subellipsoidea,Standard culture,21.91,26.8266666666667,21.91,25.351,26.089,24.5843333333333,21.91,24.0886666666667
1,P.subellipsoidea,Darkness-light,23.172833334,27.4256666666667,23.172833334,22.9663333333333,25.5623333333333,25.0136666666667,25.5623333333333,25.1146666666667
2,P.subellipsoidea,Darkness-light,23.684,27.4466666666667,23.684,23.4696666666667,26.431,24.804,26.431,25.6326666666667
3,P.subellipsoidea,Darkness-light,22.6616666666667,27.018,22.6616666666667,23.4513333333333,25.996666667,24.631,37.628,24.8383333333333
1,P.subellipsoidea,Darkness,26.9143333333333,30.3166666666667,26.9143333333333,25.1453333333333,26.9143333333333,26.111,26.9143333333333,27.6146666666667
2,P.subellipsoidea,Darkness,27.7526666666667,31.336,27.7526666666667,26.5,27.7526666666667,25.6116666666667,27.7526666666667,28.582
3,P.subellipsoidea,Darkness,27.1373333333333,30.301,27.1373333333333,26.3426666666667,27.1373333333333,25.1696666666667,27.1373333333333,27.8106666666667
1,C.reinhardtii,Standard culture,17.3613333333333,24.902,17.3613333333333,26.5643333333333,17.3613333333333,30.2446666666667,23.396,26.8493333333333
2,C.reinhardtii,Standard culture,18.0436666666667,25.2856666666667,18.0436666666667,27.1816666666667,18.0436666666667,30.319,24.51,27.698
3,C.reinhardtii,Standard culture,18.3096666666667,25.1026666666667,18.3096666666667,27.4773333333333,18.3096666666667,30.6713333333333,24.9903333333333,28.158
