replicate,group,gene,normalized,calibrated,relative_expression,error,lower(relexp),upper(relexp),estimate,p_value,lower(test),upper(test)
1,Standard culture,mer3,5.01233333333333,0,1,0.26513539518098,0.832120637533652,1.20174882690559,,No,,
2,Nitrate deficiency,mer3,6.04544444444443,1.0331111111111,0.48865524731092,0.533654417237426,0.337564353917154,0.707373121461453,1.0331111111111,0.016034347163747,0.249746271122309,1.81647595109989
3,Darkness-light,mer3,4.12394444422224,-0.888388889111098,1.8511077686103,0.565410822454028,1.25091006233948,2.73928564024891,-0.8883888891111,0.030881509807147,-1.67175372909989,-0.105024049122308
4,Darkness,mer3,3.38311111111113,-1.6292222222222,3.09346180742081,0.735037162073898,1.85855973795513,5.14888263128957,-1.6292222222222,0.001362540111539,-2.41258706221099,-0.845857382233409
1,Nitrate deficiency,hop1,2.38911111111113,-1.22844444444443,2.34314209229963,0.581997454493597,1.56530846759754,3.50749707061442,-1.22844444444443,0.034136143548816,-2.33902999463863,-0.117858894250233
2,Standard culture,hop1,3.61755555555557,0,1,0.825063925693948,0.564457190799061,1.77161353650996,,No,,
3,Darkness-light,hop1,0.122944444222199,-3.49461111133337,11.2715273115779,0.58547042655489,7.5117064487985,16.9132445206199,-3.49461111133337,8.75282898257271E-05,-4.60519666152756,-2.38402556113917
4,Darkness,hop1,-1.2721111111111,-4.88966666666666,29.6439679782374,0.858744195085279,16.3466428540454,53.7581230189593,-4.88966666666666,7.57852829156853E-06,-6.00025221686086,-3.77908111647247
1,Nitrate deficiency,hop2,0.258444444444468,1.48955555555563,0.356122240947662,1.48645859281318,0.127095587741416,0.997855651414228,1.48955555555563,0.066149581967432,-0.125716592650863,3.10482770376213
2,Standard culture,hop2,-1.23111111111117,0,1,0.314368031547815,0.804203192514202,1.24346683687449,,No,,
3,Darkness-light,hop2,-1.18044444455553,0.050666666555632,0.965490074751722,0.474727212118652,0.694769400937441,1.34169853074462,0.050666666555632,0.944112590489305,-1.56460548165086,1.66593881476213
4,Darkness,hop2,0,0,0,0,0,0,0,0,0,0
1,Nitrate deficiency,mnd1,2.29200000000003,-0.2222222222222,1.1665290395761,0.894106547632045,0.627686321209207,2.16794592170312,-0.2222222222222,0.940891119794915,-6.9198579942645,6.4754135498201
2,Standard culture,mnd1,2.51422222222223,0,1,0.222006339582482,0.857372269106034,1.16635449504645,,No,,
3,Darkness-light,mnd1,-4.67855555555553,-7.19277777777777,146.299170340145,6.74145573354951,1.36729263047586,15653.8891274253,-7.19277777777777,0.038321228348994,-13.8904135498201,-0.495142005735463
4,Darkness,mnd1,0.734333333333367,-1.77988888888887,3.43399726161963,0.670854154266267,2.15701279544755,5.46697600389728,-1.77988888888887,0.557011856018321,-8.47752466093117,4.91774688315344
